Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
branchy_dgnet_mutiT(100),68.51,0.6936253547668457,1.0,-,-
B-branchy_dgnet_mutiT(100),68.46000031381845,0.6164680957794189,1.1251601818742536,"{0.0001, 0.0001, 0.0001}","{4.16, 23.81, 5.41, 66.62}"
B-branchy_dgnet_mutiT(100),68.34000031262636,0.6041336297988891,1.1481323345594048,"{0.0001, 0.0001, 0.001}","{4.16, 23.81, 15.84, 56.19}"
B-branchy_dgnet_mutiT(100),68.34000014662742,0.6115606546401978,1.1341889794642355,"{0.0001, 0.0001, 0.005}","{4.16, 23.81, 24.88, 47.15}"
B-branchy_dgnet_mutiT(100),68.47000012144446,0.6023353576660155,1.151560083496624,"{0.0001, 0.0001, 0.01}","{4.16, 23.81, 28.86, 43.17}"
B-branchy_dgnet_mutiT(100),68.48000012695789,0.6129991054534912,1.1315275154499742,"{0.0001, 0.0001, 0.05}","{4.16, 23.81, 39.11, 32.92}"
B-branchy_dgnet_mutiT(100),68.45000001460313,0.6047765254974364,1.1469118352375367,"{0.0001, 0.0001, 0.1}","{4.16, 23.81, 43.76, 28.27}"
B-branchy_dgnet_mutiT(100),68.35000047080219,0.6056772708892822,1.1452061817483001,"{0.0001, 0.0001, 0.5}","{4.16, 23.81, 57.89, 14.14}"
B-branchy_dgnet_mutiT(100),68.3200002796948,0.5977273225784302,1.1604377591018225,"{0.0001, 0.0001, 0.75}","{4.16, 23.81, 65.93, 6.1}"
B-branchy_dgnet_mutiT(100),68.44000057816505,0.5767132043838501,1.2027214731590938,"{0.0001, 0.0001, 1.0}","{4.16, 23.81, 69.27, 2.76}"
B-branchy_dgnet_mutiT(100),68.6000002938509,0.45362823009490966,1.5290612637174785,"{0.0001, 0.0001, 5.0}","{4.16, 23.81, 72.03, 0.0}"
B-branchy_dgnet_mutiT(100),68.6000002938509,0.4529592037200928,1.5313197062123791,"{0.0001, 0.0001, 10.0}","{4.16, 23.81, 72.03, 0.0}"
B-branchy_dgnet_mutiT(100),68.57000037431716,0.6081208705902099,1.1406044230872223,"{0.0001, 0.001, 0.0001}","{4.16, 33.78, 2.28, 59.78}"
B-branchy_dgnet_mutiT(100),68.5200002321601,0.6151206970214844,1.1276248029459808,"{0.0001, 0.001, 0.001}","{4.16, 33.78, 9.07, 52.99}"
B-branchy_dgnet_mutiT(100),68.42000012636184,0.6693263530731202,1.0363036679822333,"{0.0001, 0.001, 0.005}","{4.16, 33.78, 16.39, 45.67}"
B-branchy_dgnet_mutiT(100),68.36000012367964,0.6011970520019532,1.1537404457608555,"{0.0001, 0.001, 0.01}","{4.16, 33.78, 20.32, 41.74}"
B-branchy_dgnet_mutiT(100),68.42000036209822,0.6033553600311279,1.1496133136714999,"{0.0001, 0.001, 0.05}","{4.16, 33.78, 29.68, 32.38}"
